MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AAKAAR,AAKAAR MEDICAL TECHNO LTD,        74.50,        74.50,        74.50,        70.80,        70.80,                   460160.00,6400, ,       105.00,        46.00
N,SM,AARADHYA,AARADHYA DISPOSAL INDUS L,        82.80,        82.15,        83.90,        82.15,        83.90,                   199260.00,2400, ,       182.00,        79.60
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        19.95,        19.00,        19.00,        19.00,        19.00,                    38000.00,2000, ,        25.50,        16.95
N,SM,ABHAPOWER,ABHA POWER N STEEL LTD,        28.00,        28.00,        29.00,        28.00,        29.00,                   276160.00,9600, ,        55.25,        23.55
N,ST,AILIMITED,ABHISHEK INTEGRATIONS LTD,        36.10,        37.90,        37.90,        37.90,        37.90,                    56850.00,1500, ,        76.00,        23.75
N,ST,ABSMARINE,ABS MARINE SERVICES LTD,       264.25,       251.05,       272.95,       251.05,       256.95,                 99466400.00,393500, ,       315.50,       138.35
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       472.15,       472.85,       481.70,       470.00,       477.40,                 26185100.00,55000, ,       481.70,       215.10
N,ST,ACCORD,ACCORD SYNERGY LIMITED,        64.35,        67.55,        67.55,        67.55,        67.55,                   135100.00,2000, ,        67.55,        19.85
N,ST,ACCPL,ACCRETION PHARMA LIMITED,       142.85,       143.00,       144.90,       140.00,       144.90,                  1354200.00,9600, ,       145.85,        53.80
N,SM,ACETEC,ACETECH E-COMMERCE LTD,       126.00,       132.00,       132.00,       132.00,       132.00,                   158400.00,1200, ,       164.00,       111.80
N,SM,ADDICTIVE,ADDICTIVE LEARNING TECH L,        57.90,        55.25,        57.50,        55.05,        55.05,                  2055425.00,37000, ,       167.75,        55.05
N,SM,ADISOFT,ADISOFT TECHNOLOGIES LTD,       209.85,       213.90,       219.40,       208.00,       210.00,                 26732960.00,125600, ,       280.00,       188.00
N,SM,AUSL,ADITYA ULTRA STEEL LTD,        23.00,        23.00,        23.80,        22.05,        22.05,                   137700.00,6000, ,        48.30,        17.35
N,SM,AERON,AERON COMPOSITE LIMITED,        82.50,        81.00,        82.70,        80.25,        80.25,                  1060650.00,13000, ,       142.00,        70.00
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,        80.00,        75.00,        75.00,        75.00,        75.00,                   225000.00,3000, ,       155.60,        59.60
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       122.65,       121.05,       121.05,       117.15,       117.80,                  2717460.00,22800, ,       174.05,        81.00
N,SM,AGNI,AGNI GREEN POWER LTD,        19.00,        18.30,        18.30,        18.30,        18.30,                    45750.00,2500, ,        43.35,        13.60
N,SM,AIMTRON,AIMTRON ELECTRONICS LTD,      1282.30,      1305.00,      1320.00,      1250.10,      1270.90,                 26685180.00,20800, ,      1343.00,       537.00
N,ST,AKANKSHA,AKANKSHA POWER N INFRA L,        87.20,        84.00,        84.00,        84.00,        84.00,                   252000.00,3000, ,       133.75,        57.00
N,ST,AKIKO,AKIKO GLOBAL SERVICES L,       265.50,       265.50,       265.50,       254.00,       254.00,                  1032480.00,4000, ,       299.30,        62.00
N,ST,ALCODIS,ALCOKRAFT DISTILLERIE LTD,        73.20,        72.20,        72.20,        72.20,        72.20,                    45125.00,625, ,       163.50,        49.00
N,ST,ALLETEC,ALL E TECHNOLOGIES LTD,       143.90,       150.90,       150.90,       141.05,       143.15,                  3589240.00,24400, ,       423.90,       115.80
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,      1008.45,      1015.00,      1017.00,       995.55,      1000.45,                 26277645.00,26100, ,      1449.70,       660.00
N,SM,ALUWIND,ALUWIND INFRA-TECH LTD,        52.15,        50.55,        53.30,        50.25,        51.70,                  2661150.00,51000, ,        95.80,        45.15
N,SM,AMBAAUTO,AMBA AUTO SALES AND SER L,        81.25,        81.00,        86.95,        77.05,        85.70,                  8053550.00,96000, ,       137.50,        63.60
N,SM,AMEYA,AMEYA PRECISION ENG LTD,       102.60,       103.05,       107.65,       103.05,       107.35,                   635550.00,6000, ,       128.45,        86.00
N,SM,AMCL,ANB METAL CAST LIMITED,       487.40,       485.00,       505.05,       481.00,       505.05,                  1178220.00,2400, ,       554.00,       161.70
N,SM,AISL,ANI INTEGRATED SERV LTD.,        56.80,        58.95,        58.95,        58.95,        58.95,                    70740.00,1200, ,       112.95,        49.00
N,ST,ANLON,ANLON TECHNOLOGY SOL LTD,       671.00,       660.60,       671.00,       660.60,       671.00,                   796880.00,1200, ,       681.95,       335.00
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       147.05,       145.05,       147.00,       138.00,       139.95,                 21235150.00,149750, ,       308.00,       127.55
N,SM,ANONDITA,ANONDITA MEDICARE LIMITED,      1185.55,      1194.80,      1316.00,      1180.00,      1219.90,                 74171030.00,59600, ,      1316.00,       261.75
N,SM,ANYA,ANYA POLYTECH & FERTI LTD,        17.25,        16.65,        16.65,        16.45,        16.50,                   578500.00,35000, ,        28.00,        15.70
N,ST,APEXECO,APEX ECOTECH LIMITED,       188.00,       187.00,       188.00,       184.05,       188.00,                   595240.00,3200, ,       210.45,       102.05
N,SM,APRAMEYA,APRAMEYA ENGINEERING LTD,       163.05,       163.40,       168.00,       163.40,       167.55,                  1587075.00,9500, ,       360.00,       140.25
G,ST,APSISAERO,APSIS AEROCOM LIMITED,       289.00,       284.95,       284.95,       283.25,       283.25,                 13624560.00,48000, ,       343.75,       147.20
N,ST,ARCIIL,ARC INSULATION & INSU LTD,        45.30,        43.05,        43.05,        43.05,        43.05,                  1119300.00,26000, ,       145.00,        38.60
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,       144.35,       142.00,       142.00,       141.95,       141.95,                   425950.00,3000, ,       161.00,        70.80
N,SM,ARIHANTACA,ARIHANT ACADEMY LIMITED,       460.00,       458.00,       458.00,       458.00,       458.00,                  1465600.00,3200, ,       555.00,       250.00
N,ST,ARISTO,ARISTO BIO T AND LIFESC L,       104.35,       104.35,       104.35,        99.25,        99.25,                   877480.00,8800, ,       143.55,        74.30
N,ST,ARUNAYA,ARUNAYA ORGANICS LIMITED,        19.15,        19.60,        20.05,        19.40,        20.05,                  2858200.00,144000, ,        36.55,        13.90
N,ST,ARVINDPORT,ARVIND PORT AND INFRA LTD,        30.25,        28.75,        28.75,        28.75,        28.75,                   215625.00,7500, ,        87.40,        27.45
N,ST,ASCOM,ASCOM LEASIN & INVEST LTD,       248.80,       236.40,       260.90,       236.40,       260.00,                   615050.00,2500, ,       285.00,        76.55
N,SM,ASHALOG,ASHAPURA LOGISTICS LTD,        57.00,        53.20,        56.95,        52.50,        54.65,                  1721400.00,32000, ,        92.60,        50.00
N,SM,ASHWINI,ASHWINI CONTAINER MOVER L,       142.00,       141.00,       144.00,       141.00,       144.00,                  7564000.00,53000, ,       167.80,       120.00
N,SM,ASPIRE,ASPIRE & INNOVATIVE ADV L,        15.35,        14.60,        14.60,        14.60,        14.60,                    29200.00,2000, ,        36.65,        10.20
N,ST,ATCENERGY,ATC ENERGIES SYSTEM LTD,        23.05,        24.20,        24.20,        23.50,        23.50,                   288060.00,12000, ,        94.95,        19.35
N,ST,ATMASTCO,ATMASTCO LIMITED,       169.40,       169.40,       174.00,       164.20,       172.05,                  1764780.00,10400, ,       268.00,        98.00
N,SM,APS,AUSTRALIAN PREM SOLAR I L,       314.00,       317.80,       322.00,       313.20,       318.10,                  4135050.00,13000, ,       654.00,       261.00
N,SM,AVIANSH,AVI ANSH TEXTILE LIMITED,       110.25,       112.00,       112.50,       112.00,       112.50,                   336500.00,3000, ,       123.50,        95.00
N,SM,AVPINFRA,AVP INFRACON LIMITED,        70.25,        70.90,        73.35,        70.30,        72.45,                  1960720.00,27200, ,       218.00,        65.55
N,SM,BAGDIGITAL,B.A.G.CONVERGENCE LIMITED,       115.40,       109.55,       109.55,       108.50,       108.60,                  1392400.00,12800, ,       139.00,        95.75
N,SM,BABAFP,BABA FOOD PROCESSING,        26.05,        25.00,        25.00,        24.00,        24.90,                   158080.00,6400, ,        44.75,        20.30
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       616.25,       624.80,       625.90,       618.00,       619.90,                 11879868.75,19125, ,       640.00,       478.00
N,SM,BALAJIPHOS,BALAJI PHOSPHATES LIMITED,        98.00,        98.00,        98.00,        98.00,        98.00,                  4900000.00,50000, ,       184.70,        78.80
N,SM,BARFLEX,BARFLEX POLYFILMS LIMITED,        58.30,        57.65,        58.50,        57.65,        58.25,                  1044900.00,18000, ,        82.40,        53.00
N,SM,BASILIC,BASILIC FLY STUDIO LTD,       204.20,       204.20,       207.00,       200.10,       201.35,                  2190855.00,10800, ,       509.80,       166.25
N,ST,BAWEJA,BAWEJA STUDIOS LIMITED,        29.80,        29.90,        31.25,        29.90,        31.25,                   123320.00,4000, ,        75.70,        21.10
N,ST,BEACON,BEACON TRUSTEESHIP LTD,        86.00,        84.10,        88.75,        84.10,        88.45,                   612400.00,7000, ,       124.80,        50.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,        62.15,        64.45,        68.05,        63.20,        65.40,                  1997700.00,30500, ,       189.75,        57.30
N,SM,BHADORA,BHADORA INDUSTRIES LTD,        60.10,        60.20,        63.65,        60.05,        60.30,                  2120940.00,34800, ,       128.85,        49.50
N,SM,BIKEWO,BIKEWO GREEN TECH LIMITED,        26.75,        28.80,        29.50,        25.55,        27.35,                  1111200.00,40000, ,        29.50,        13.65
N,ST,BMLL,BIO MEDICA LABORATORIES L,       116.70,       118.15,       122.50,       118.15,       122.50,                  2808350.00,23000, ,       122.50,       101.50
N,SM,BIOPOL,BIOPOL CHEMICALS LIMITED,       103.35,       107.00,       109.00,       107.00,       108.45,                  1951260.00,18000, ,       133.75,        84.75
N,ST,BLUEWATER,BLUE WATER LOGISTICS LTD,       273.00,       260.05,       286.65,       260.05,       284.25,                 11091600.00,39000, ,       303.00,       125.40
N,SM,BOSS,BOSS PACKAGING SOLU LTD,        39.50,        37.55,        37.55,        37.55,        37.55,                   225300.00,6000, ,        54.30,        35.10
N,ST,BRANDMAN,BRANDMAN RETAIL LIMITED,       162.60,       161.00,       165.00,       160.00,       160.00,                  2598480.00,16000, ,       243.80,       109.35
N,SM,BULKCORP,BULKCORP INTERNATIONAL L,        40.00,        41.30,        41.30,        38.10,        41.00,                   144480.00,3600, ,        94.60,        38.05
N,SM,CKKRETAIL,C K K RETAIL MART LIMITED,       145.25,       147.00,       147.05,       147.00,       147.00,                  6115320.00,41600, ,       265.25,       112.20
N,SM,CPS,C P S SHAPERS LIMITED,      1034.95,      1020.00,      1020.00,      1000.00,      1000.00,                   303000.00,300, ,      1349.25,       660.00
N,SM,C2C,C2C ADVANCED SYSTEMS LTD,       362.50,       358.95,       362.00,       342.00,       343.55,                 64024575.00,184500, ,       888.00,       310.00
N,SM,CANARYS,CANARYS AUTOMATIONS LTD,        20.45,        20.80,        20.90,        20.00,        20.00,                  1950600.00,96000, ,        36.90,        14.60
N,ST,CUDML,CASH UR DRIVE MARKETING L,       158.05,       157.90,       157.90,       157.90,       157.90,                   157900.00,1000, ,       167.90,        84.95
N,SM,CEDAAR,CEDAAR TEXTILE LIMITED,        23.10,        22.05,        24.05,        22.05,        24.05,                    69600.00,3000, ,       136.30,        18.85
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        15.10,        15.75,        15.75,        15.75,        15.75,                    37800.00,2400, ,        21.15,        11.70
N,ST,CELLECOR,CELLECOR GADGETS LIMITED,        36.90,        36.45,        37.20,        36.05,        36.95,                 13978950.00,378000, ,        43.85,        21.80
N,SM,CMNL,CHAMAN METALLICS LIMITED,       106.10,       109.80,       109.90,       104.25,       106.05,                  1045087.50,9750, ,       183.90,        90.00
N,SM,CHAMUNDA,CHAMUNDA ELECTRICAL LTD,        39.55,        42.95,        42.95,        40.05,        40.05,                   495900.00,12000, ,        59.00,        38.00
N,SM,CHANDAN,CHANDAN HEALTHCARE LTD,       239.15,       238.60,       242.50,       235.55,       236.70,                  4756760.00,20000, ,       358.00,       179.00
N,SM,CHAVDA,CHAVDA INFRA LIMITED,        90.30,        90.30,        90.55,        89.20,        90.00,                   360050.00,4000, ,       142.00,        80.60
N,ST,CHETANA,CHETANA EDUCATION LIMITED,        42.55,        44.60,        44.65,        44.60,        44.65,                   428560.00,9600, ,        96.50,        30.10
N,ST,CLASSICEIL,CLASSIC ELECTRODE (IND) L,        45.05,        45.05,        47.00,        45.00,        47.00,                   363360.00,8000, ,       113.90,        34.75
N,SM,CSSL,CLEAR SECURED SERVICES L,       106.40,       107.00,       107.50,       106.00,       107.50,                  2136150.00,20000, ,       164.00,        89.50
N,ST,COMMITTED,COMMITTED CARGO CARE LTD,       258.00,       245.20,       265.90,       245.10,       265.90,                   604960.00,2400, ,       303.00,       174.25
N,SM,CONNPLEX,CONNPLEX CINEMAS LIMITED,       224.55,       229.50,       229.85,       223.00,       226.70,                  6135240.00,27200, ,       311.90,       177.00
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,        21.30,        21.75,        23.40,        21.20,        22.95,                  1869000.00,82500, ,       838.00,        20.80
N,SM,CRAYONS,CRAYONS ADVERTISING LTD,        31.10,        31.10,        31.10,        31.05,        31.05,                    62150.00,2000, ,        70.00,        23.60
N,SM,CGRAPHICS,CREATIVE GRAPHICS S IND L,       145.20,       145.00,       148.80,       144.00,       145.00,                  4560520.00,31200, ,       259.00,       122.00
N,SM,CURRENT,CURRENT INFRAPROJECTS LTD,       114.90,       118.95,       119.00,       111.50,       111.50,                  1825120.00,16000, ,       163.00,       106.05
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,        63.65,        63.40,        63.40,        62.90,        62.90,                   151760.00,2400, ,        96.75,        52.45
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        65.75,        64.00,        64.15,        64.00,        64.15,                   192225.00,3000, ,        89.60,        61.50
N,SM,DANISH,DANISH POWER LIMITED,       947.45,       959.90,       974.40,       905.00,       918.00,                 37151610.00,39900, ,      1189.00,       550.50
N,SM,DCCL,DAR CREDIT & CAPITAL LTD,        40.00,        41.75,        42.50,        41.75,        42.50,                  1672500.00,40000, ,        65.00,        33.00
N,SM,DCG,DCG CABLES & WIRES LTD,        58.70,        58.70,        58.95,        58.70,        58.95,                   141180.00,2400, ,        80.40,        47.00
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       236.00,       232.00,       234.95,       221.00,       221.10,                  1225320.00,5400, ,       374.80,       132.00
N,SM,DECCANTRAN,DECCAN TRANSCON LEASING L,        23.70,        23.00,        23.00,        23.00,        23.00,                    82800.00,3600, ,        43.00,        16.25
N,SM,DEEM,DEEM ROLL TECH LIMITED,        50.10,        51.00,        52.60,        51.00,        52.60,                   155950.00,3000, ,        72.00,        29.35
N,SM,DELAPLEX,DELAPLEX LIMITED,        96.90,        96.00,        99.90,        96.00,        99.90,                   697080.00,7200, ,       194.85,        81.15
N,ST,DELTIC,DELTA AUTOCORP LIMITED,        34.20,        33.10,        35.90,        33.10,        35.80,                   723450.00,21000, ,        83.95,        28.05
N,SM,DHANLAXMI,DHANLAXMI CROP SCIENCE L,        29.25,        28.60,        28.90,        28.50,        28.70,                   286400.00,10000, ,        56.80,        20.05
N,ST,DHANSA,DHANSA LABS LIMITED,        25.00,        23.75,        24.90,        23.75,        24.00,                   192800.00,8000, ,        48.30,        16.20
N,SM,DIRL,DHANUKA INFRA REALTY LTD,        11.90,        11.85,        11.85,        11.85,        11.85,                   142200.00,12000, ,        31.05,         8.90
N,SM,DHARARAIL,DHARA RAIL PROJECTS LTD,       145.05,       148.00,       157.00,       147.10,       152.35,                 16599150.00,109000, ,       157.50,        90.05
N,SM,DHARIWAL,DHARIWALCORP LIMITED,        30.70,        30.10,        31.00,        30.00,        30.90,                  8521950.00,276000, ,       413.00,        30.00
N,SM,DTL,DIENSTEN TECH LIMITED,       130.00,       130.00,       130.00,       130.00,       130.00,                   312000.00,2400, ,       178.00,        82.05
N,SM,DIGIKORE,DIGIKORE STUDIOS LIMITED,        60.20,        59.10,        59.10,        55.00,        56.70,                  5875640.00,102400, ,       199.00,        45.35
N,ST,DIVINEHIRA,DIVINE HIRA JEWELLERS LTD,       323.90,       325.00,       325.00,       320.00,       320.00,                   258000.00,800, ,       346.50,        50.10
N,SM,DPEL,DIVINE POWER ENERGY LTD,       498.25,       500.05,       500.05,       492.15,       493.20,                  7431325.00,15000, ,       547.80,       123.00
N,ST,DIVYADHAN,DIVYADHAN RECYCLING IND L,        30.65,        32.15,        32.15,        32.15,        32.15,                    64300.00,2000, ,        62.40,        18.25
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        30.85,        30.50,        31.85,        30.30,        31.60,                   742600.00,24000, ,        44.25,        26.00
N,ST,DRONE,DRONE DESTINATION LIMITED,        38.30,        38.30,        39.25,        36.40,        38.35,                  5591475.00,151000, ,       125.15,        36.00
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       114.50,       114.50,       114.50,       113.40,       113.40,                   182320.00,1600, ,       209.50,        90.00
N,ST,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        33.75,        32.25,        34.80,        32.25,        34.80,                   572750.00,17500, ,        56.00,        26.50
N,ST,DURLAX,DURLAX TOP SURFACE LTD,        56.25,        55.55,        55.55,        54.60,        55.05,                   994700.00,18000, ,        64.35,        30.55
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,       152.60,       151.85,       156.35,       151.85,       156.35,                   154100.00,1000, ,       181.05,        84.70
N,SM,EFACTOR,E FACTOR EXPERIENCES LTD,       183.00,       175.10,       186.50,       175.10,       182.00,                   653240.00,3600, ,       348.00,       160.10
N,ST,E2ERAIL,E TO E TRANS INFRA LTD,       289.00,       295.00,       298.00,       283.10,       294.25,                  7664440.00,26400, ,       347.10,       171.00
N,SM,ECOLINE,ECOLINE EXIM LIMITED,       163.85,       169.80,       186.00,       166.30,       181.40,                 77290750.00,429000, ,       186.00,       111.00
N,SM,EFFWA,EFFWA INFRA & RESEARCH L,       317.65,       320.00,       339.90,       320.00,       322.85,                 33856660.00,103200, ,       339.90,       165.00
N,SM,EFORCE,ELECTRO FORCE (INDIA) LTD,        22.65,        24.00,        24.75,        24.00,        24.25,                   436260.00,18000, ,        54.50,        16.15
N,SM,ELGNZ,ELEGANZ INTERIORS LIMITED,        80.30,        81.95,        82.10,        81.95,        82.00,                   164050.00,2000, ,       163.00,        52.00
N,SM,EMAPARTNER,EMA PARTNERS INDIA LTD,        90.05,        88.40,        89.75,        88.10,        88.10,                   356000.00,4000, ,       113.00,        65.25
N,SM,ETML,EMERALD TYRE MANUF LTD,        76.75,        77.00,        79.00,        77.00,        79.00,                   282000.00,3600, ,       152.55,        72.50
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,        95.35,       100.00,       100.00,        98.90,        98.90,                    74640.00,750, ,       330.00,        83.10
N,SM,ETL,EMKAY TOOLS LIMITED,       930.05,       988.00,       988.00,       988.00,       988.00,                   148200.00,150, ,      1235.00,       721.10
N,SM,ENCOMPAS,ENCOMPASS DESIGN INDIA L,       225.90,       227.95,       227.95,       220.10,       221.10,                   535660.00,2400, ,       302.90,       167.35
N,SM,EMMIL,ENERGY MISSION MACH IND L,       122.95,       127.85,       127.85,       121.55,       126.75,                  1031250.00,8250, ,       243.50,       110.00
N,SM,ENFUSE,ENFUSE SOLUTIONS LIMITED,       189.35,       185.00,       185.00,       170.00,       170.00,                   635100.00,3600, ,       284.00,       150.00
N,ST,ENSER,ENSER COMMUNICATIONS LTD,        15.10,        15.10,        15.10,        15.00,        15.00,                   377000.00,25000, ,        23.25,         7.80
N,SM,ENVIRO,ENVIROTECH SYSTEMS LTD,        84.00,        82.15,        83.00,        80.00,        80.95,                  3407100.00,42000, ,       173.00,        77.25
N,SM,EEPL,EPPELTONE ENGINEERS LTD,       100.20,        99.00,        99.90,        98.00,        99.90,                   789050.00,8000, ,       267.90,        94.00
N,ST,EPWINDIA,EPW INDIA LIMITED,       150.30,       150.30,       150.30,       144.00,       144.00,                   707520.00,4800, ,       158.50,        98.00
N,ST,ESCONET,ESCONET TECHNOLOGIES LTD,       121.65,       121.65,       121.65,       117.50,       119.80,                  1096020.00,9200, ,       280.00,        91.25
N,SM,ESPRIT,ESPRIT STONES LIMITED,        72.50,        71.00,        71.00,        69.55,        69.55,                   224880.00,3200, ,       126.95,        52.00
N,ST,ESFL,ESSEN SPECIALITY FILMS L,       121.00,       120.00,       126.00,       119.25,       123.95,                  1698804.00,14040, ,       500.00,       109.95
G,ST,EXCELLENT,EXCELLENT WIRES N PACK L,       171.00,       173.00,       173.95,       173.00,       173.95,                  1945200.00,11200, ,       173.95,        36.90
N,SM,EXIMROUTES,EXIM ROUTES LIMITED,       116.10,       111.00,       115.00,       111.00,       111.10,                  1364560.00,12000, ,       281.90,       101.00
N,SM,FALCONTECH,FALCON TECHNOPROJ IND LTD,        13.40,        13.15,        13.70,        13.00,        13.35,                   127380.00,9600, ,        32.50,        11.15
N,SM,FELIX,FELIX INDUSTRIES LTD.,       181.25,       182.00,       185.30,       180.15,       182.10,                  5478575.00,30000, ,       232.95,       142.65
N,SM,FIDEL,FIDEL SOFTECH LIMITED,       156.60,       157.20,       157.20,       150.00,       150.00,                  1393650.00,9000, ,       234.00,       108.10
N,SM,FINBUD,FINBUD FINANCIAL SERV LTD,       117.00,       117.50,       117.50,       115.10,       117.00,                  2101200.00,18000, ,       164.85,        76.00
N,SM,FLYSBS,FLYSBS AVIATION LIMITED,       412.60,       424.80,       424.80,       405.00,       408.50,                  8025520.00,19600, ,       790.00,       355.25
N,SM,FWSTC,FLYWINGS SIMULAT T C LTD,       169.70,       160.00,       173.05,       160.00,       170.00,                  1403400.00,8400, ,       248.00,       145.00
N,SM,FOCE,FOCE INDIA LIMITED,       591.50,       578.00,       590.00,       576.00,       590.00,                  1116960.00,1920, ,      2004.00,       521.55
N,SM,FORCAS,FORCAS STUDIO LIMITED,       104.25,       105.00,       105.00,       103.50,       103.50,                  1169520.00,11200, ,       140.00,        93.00
N,SM,FORGEAUTO,FORGE AUTO INTERNATION L,        91.10,        94.50,        94.50,        94.50,        94.50,                   113400.00,1200, ,       175.50,        68.45
N,SM,FRESHARA,FRESHARA AGRO EXPORTS LTD,       229.65,       229.00,       233.30,       215.00,       216.05,                 13025610.00,58800, ,       233.30,       130.00
N,ST,FROG,FROG INNOVATIONS LIMITED,       169.80,       170.00,       177.00,       164.00,       172.45,                  5484280.00,32000, ,       277.00,       123.50
N,SM,GAJANAND,GAJANAND INTERNATIONAL L,         8.10,         7.35,         8.20,         7.30,         8.20,                    92550.00,12000, ,        14.50,         6.25
